datetime,latitude,longitude,wireless_channel,wireless_frequency,wireless_opmode,wireless_signal,wireless_noisef,wireless_rssi,wireless_txpower,wireless_distance,wireless_ccq,wireless_txrate,wireless_rxrate,
15:22:54.332534,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,962,216,162,
15:22:54.474820,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-28,-84,68,18,0,965,216,243,
15:22:54.551432,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-35,-84,61,18,0,968,216,240,
15:22:54.650293,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,971,216,240,
15:22:54.756346,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-32,-84,64,18,0,973,240,240,
15:22:54.864463,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-38,-84,58,18,0,973,240,240,
15:22:54.963967,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-38,-84,58,18,0,975,240,216,
15:22:55.076489,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-38,-84,58,18,0,973,240,240,
15:22:55.200758,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-38,-84,58,18,0,971,240,240,
15:22:55.312628,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-30,-84,66,18,0,973,240,240,
15:22:55.449599,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,975,240,216,
15:22:55.560969,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,977,240,216,
15:22:55.667150,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-35,-84,61,18,0,979,240,240,
15:22:55.776219,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,976,216,240,
15:22:56.242675,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-36,-84,60,18,0,977,216,240,
15:22:56.347868,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-34,-84,62,18,0,979,216,240,
15:22:56.451829,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,975,216,240,
15:22:56.518190,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-41,-84,55,18,0,973,180,240,
15:22:56.580958,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-41,-84,55,18,0,969,216,240,
15:22:56.646182,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-41,-84,55,18,0,967,216,240,
15:22:56.709976,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-40,-84,56,18,0,967,216,240,
15:22:56.771732,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-42,-84,54,18,0,969,216,240,
15:22:56.834211,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-40,-84,56,18,0,971,216,240,
15:22:56.905453,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,973,216,240,
15:22:57.037737,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,977,216,240,
15:22:57.149938,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,974,216,216,
15:22:57.281563,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-25,-84,71,18,0,974,240,216,
15:22:57.419806,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-31,-84,65,18,0,976,240,216,
15:22:57.534648,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,977,240,216,
15:22:57.724479,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-40,-84,56,18,0,977,240,216,
15:22:57.835582,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-37,-84,59,18,0,979,240,216,
15:22:58.452396,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,982,216,240,
15:22:58.576019,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,981,216,216,
15:22:58.689737,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-30,-84,66,18,0,980,216,240,
15:22:58.767791,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-38,-84,58,18,0,982,216,240,
15:22:58.840678,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-40,-84,56,18,0,982,216,240,
15:22:58.909110,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-39,-84,57,18,0,980,216,216,
15:22:59.051546,44.56684875488281,-123.27436828613281,36,2439 MHz,11nght40minus,-40,-84,56,18,0,982,216,240,
15:22:59.227947,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-40,-84,56,18,0,983,216,240,
15:22:59.384660,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-39,-84,57,18,0,982,216,240,
15:22:59.528791,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-40,-84,56,18,0,983,216,240,
15:22:59.651110,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-41,-84,55,18,0,984,216,240,
15:22:59.772006,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-39,-84,57,18,0,982,216,240,
15:22:59.885789,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-38,-84,58,18,0,980,216,240,
15:23:00.023413,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-37,-84,59,18,0,982,216,240,
15:23:00.134466,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-36,-84,60,18,0,983,216,216,
15:23:00.328327,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-35,-84,61,18,0,980,216,180,
15:23:00.615692,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-36,-84,60,18,0,982,216,216,
15:23:01.136638,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-40,-84,56,18,0,975,180,216,
15:23:01.246320,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-40,-84,56,18,0,973,216,216,
15:23:01.359487,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-40,-84,56,18,0,971,216,240,
15:23:01.467636,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-39,-84,57,18,0,971,216,240,
15:23:01.583190,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-40,-84,56,18,0,973,216,240,
15:23:01.652772,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-32,-84,64,18,0,973,216,240,
15:23:01.722667,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-38,-84,58,18,0,975,216,216,
15:23:01.830616,44.56684875488281,-123.27435302734375,36,2439 MHz,11nght40minus,-37,-84,59,18,0,977,216,216,
